variable_name,variable_label,measure,original_type,value_labels_json,missing_ranges_json,missing_user_values_json
b06_20,b06:Not stated:B06 People give different reasons why they vote for one party rat,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b07,B7 Did you care which party won the recent general election?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Cared a good deal"", ""2.0"": ""Didn't care very much""}",[],[]
b08_01,"b08:Partner/Spouse:B8 Thinking back to the day of the elections on May 7th, did",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b08_02,"b08:Other Family Member:B8 Thinking back to the day of the elections on May 7th,",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b08_03,"b08:Friend:B8 Thinking back to the day of the elections on May 7th, did any of t",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b08_04,b08:Work Colleague or Neighbour:B8 Thinking back to the day of the elections on,unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b08_05,"b08:Someone else:B8 Thinking back to the day of the elections on May 7th, did an",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b08_06,"b08:No, none:B8 Thinking back to the day of the elections on May 7th, did any of",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b08_07,"b08:Don't know:B8 Thinking back to the day of the elections on May 7th, did any",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b08_08,"b08:Not stated:B8 Thinking back to the day of the elections on May 7th, did any",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b09,B9 Thinking back to the referendum on Scottish independence held in September 20,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don't know"", ""1.0"": ""Did not vote"", ""2.0"": ""I voted 'Yes' __(Scotland should become an independent country)"", ""3.0"": ""I voted 'No' (Scotland should NOT become an independent country)"", ""4.0"": ""Not eligible/too young to vote""}",[],[]
b10,B10 Did you manage to vote in the local elections that were held on May 7th this,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don't know"", ""1.0"": ""Yes, voted"", ""2.0"": ""No, did not manage to vote"", ""3.0"": ""There wasn't a local election in this area""}",[],[]
b11,B11 Which party did you vote for in the local election on 7th of May?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don't know"", ""1.0"": ""Labour"", ""2.0"": ""Conservatives"", ""3.0"": ""Liberal Democrats"", ""4.0"": ""Scottish National Party (SNP)"", ""5.0"": ""Plaid Cymru"", ""6.0"": ""Green Party"", ""7.0"": ""United Kingdom Independence Party (UKIP)"", ""8.0"": ""British National Party (BNP)"", ""9.0"": ""Independent candidate"", ""10.0"": ""Other""}",[],[]
B11_other,B11: local election voted other,unknown,A65,{},[],[]
b12_1,Conservatives look after interests of black people and Asians,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_2,Conservatives look after interests of trade unions,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_3,Conservatives look after interests of middle class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_4,Conservatives look after interests of big business,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_5,Conservatives look after interests of working class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b12_6,Conservatives look after interests of unemployed,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_1,Labour look after interests of black people and Asians,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_2,Labour look after interests of trade unions,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_3,Labour look after interests of middle class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_4,Labour look after interests of big business,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_5,Labour look after interests of working class,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b13_6,Labour look after interests of unemployed,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very closely"", ""2.0"": ""Fairly closely"", ""3.0"": ""Not very closely"", ""4.0"": ""Not at all closely""}",[],[]
b14_01,"b14:Black people and Asians:B14 And which, if any, of these groups do you think",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b14_02,"b14:Middle class people:B14 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b14_03,"b14:Working class people:B14 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b14_04,"b14:People who are unemployed or on benefits:B14 And which, if any, of these gro",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b14_05,"b14:None of these:B14 And which, if any, of these groups do you think the Libera",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b14_06,"b14:Don't know:B14 And which, if any, of these groups do you think the Liberal D",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b14_07,"b14:Not stated:B14 And which, if any, of these groups do you think the Liberal D",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b15_01,"b15:Black people and Asians:B15 And which, if any, of these groups do you think",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b15_02,"b15:Middle class people:B15 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b15_03,"b15:Working class people:B15 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b15_04,"b15:People who are unemployed or on benefits:B15 And which, if any, of these gro",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b15_05,"b15:None of these:B15 And which, if any, of these groups do you think the UKIP l",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b15_06,"b15:Don't know:B15 And which, if any, of these groups do you think the UKIP look",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b15_07,"b15:Not stated:B15 And which, if any, of these groups do you think the UKIP look",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b16_01,"b16:Black people and Asians:B16 And which, if any, of these groups do you think",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b16_02,"b16:Middle class people:B16 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b16_03,"b16:Working class people:B16 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b16_04,"b16:People who are unemployed or on benefits:B16 And which, if any, of these gro",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b16_05,"b16:None of these:B16 And which, if any, of these groups do you think the Green",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b16_06,"b16:Don't know:B16 And which, if any, of these groups do you think the Green Par",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b16_07,"b16:Not stated:B16 And which, if any, of these groups do you think the Green Par",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b17_01,"b17:Black people and Asians:B17 And which, if any, of these groups do you think",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b17_02,"b17:Middle class people:B17 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b17_03,"b17:Working class people:B17 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b17_04,"b17:People who are unemployed or on benefits:B17 And which, if any, of these gro",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b17_05,"b17:None of these:B17 And which, if any, of these groups do you think the Scotti",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b17_06,"b17:Don't know:B17 And which, if any, of these groups do you think the Scottish",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b17_07,"b17:Not stated:B17 And which, if any, of these groups do you think the Scottish",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b18_01,"b18:Black people and Asians:B18 And which, if any, of these groups do you think",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b18_02,"b18:Middle class people:B18 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b18_03,"b18:Working class people:B18 And which, if any, of these groups do you think the",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b18_04,"b18:People who are unemployed or on benefits:B18 And which, if any, of these gro",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b18_05,"b18:None of these:B18 And which, if any, of these groups do you think the Plaid",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b18_06,"b18:Don't know:B18 And which, if any, of these groups do you think the Plaid Cym",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
b18_07,"b18:Not stated:B18 And which, if any, of these groups do you think the Plaid Cym",unknown,F8.0,"{""0.0"": ""No"", ""1.0"": ""Yes""}",[],[]
c01,C1 How interested were you in the general election that was held on May 7th this,unknown,F8.0,"{""-999.0"": ""Not stated"", ""1.0"": ""Very interested"", ""2.0"": ""Somewhat interested"", ""3.0"": ""Not very interested"", ""4.0"": ""Not at all interested""}",[],[]
c02_1,Going to vote is a lot of effort,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
c02_2,I feel a sense of satisfaction when I vote,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
c02_3,Most people around here usually vote in general elections.,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
c02_4,It is every citizen's duty to vote in an election,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
c02_5,Most of my friends and family think that voting is a waste of time.,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
d01,"D1 Generally speaking, do you think of yourself as Labour, Conservative, Liberal",unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don't know"", ""1.0"": ""None/No"", ""2.0"": ""Labour"", ""3.0"": ""Conservative"", ""4.0"": ""Liberal Democrat"", ""5.0"": ""Scottish National Party (SNP)"", ""6.0"": ""Plaid Cymru"", ""7.0"": ""Green Party"", ""8.0"": ""United Kingdom Independence Party (UKIP)"", ""9.0"": ""British National Party (BNP)"", ""10.0"": ""Other""}",[],[]
D01_other,D01: party ID other,unknown,A49,{},[],[]
d02,D2 Do you generally think of yourself as a little closer to one of the parties t,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don't know"", ""1.0"": ""Yes"", ""2.0"": ""No""}",[],[]
d03,D3 Which party is that?,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don't know"", ""1.0"": ""None/No"", ""2.0"": ""Labour"", ""3.0"": ""Conservatives"", ""4.0"": ""Liberal Democrats"", ""5.0"": ""Scottish National Party (SNP)"", ""6.0"": ""Plaid Cymru"", ""7.0"": ""Green Party"", ""8.0"": ""United Kingdom Independence Party (UKIP)"", ""9.0"": ""British National Party (BNP)"", ""10.0"": ""Other""}",[],[]
d04,"D4 Would you call yourself very strong supporter of the party, fairly strong or",unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Very strong"", ""2.0"": ""Fairly strong"", ""3.0"": ""Not very strong""}",[],[]
f01_1,Ordinary working people get their fair share of the nation's wealth,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_2,There is one law for the rich and one for the poor,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_3,Young people today don't have enough respect for traditional British values,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_4,Censorship of films and magazines is necessary to uphold moral standards,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_5,There is no need for strong trade unions to protect employees' working condition,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_6,Private enterprise is the best way to solve Britain's economic problems,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_7,Major public services and industries ought to be in state ownership,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_8,It is the government's responsibility to provide a job for everyone who wants on,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_9,People should be allowed to organise public meetings to protest against the gove,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
f01_10,People in Britain should be more tolerant of those who lead unconventional lives,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""1.0"": ""Strongly disagree"", ""2.0"": ""Disagree"", ""3.0"": ""Neither agree nor disagree"", ""4.0"": ""Agree"", ""5.0"": ""Strongly agree""}",[],[]
e01,E1 In politics people sometimes talk of left and right. Where would you place yo,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-2.0"": ""Refused"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Left"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Right""}",[],[]
g01_1,Tax/spend: Yourself,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
g01_2,Tax/spend: Conservative Party,unknown,F8.0,"{""-999.0"": ""Not stated"", ""-1.0"": ""Don't know"", ""0.0"": ""0 Government should cut taxes a lot and spend much less on health and social services"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10 Government should increase taxes a lot and spend much more on health and social services""}",[],[]
