name,total_speeches,immigration_speeches,immigration_speech_proportion,reform_alignment,hardline_ratio,radicalization_slope,trend_strength,current_alignment,starting_alignment,alignment_change,extremism_percentile
Nigel Adams,703,48,0.0683,0.1695,0.2093,-0.0016,0.0102,0.0,0.0,0.0,56.4
Damian Green,541,39,0.0721,0.1544,0.1795,0.0031,0.0787,0.177,0.0,0.177,49.9
Liam Fox,658,27,0.041,0.1711,0.2,0.0008,0.0052,0.0,0.0,0.0,57.5
Theo Clarke,82,5,0.061,0.147,-0.0909,0.0038,0.0382,0.0,0.0926,-0.0926,45.2
Christopher Chope,707,33,0.0467,0.2167,0.3659,-0.0001,0.0002,0.0,0.2047,-0.2047,83.6
Roger Gale,770,24,0.0312,0.1509,0.2,0.0007,0.0101,0.0357,0.0,0.0357,47.1
Lee Anderson,348,47,0.1351,0.2336,0.4359,0.0026,0.0181,0.3235,0.0,0.3235,90.4
Robbie Moore,503,11,0.0219,0.124,0.25,0.0001,0.0,0.134,0.0,0.134,31.0
Iain Duncan Smith,885,58,0.0655,0.2074,0.25,-0.0029,0.0583,0.0,0.4519,-0.4519,78.9
Giles Watling,192,16,0.0833,0.213,0.5,0.003,0.0425,0.0,0.0,0.0,82.2
Mark Garnier,190,1,0.0053,0.1321,0.1304,-0.0006,0.0507,0.0,0.0,0.0,36.2
Sara Britcliffe,208,5,0.024,0.2363,0.1613,-0.0041,0.0442,0.0,0.0,0.0,91.5
Gary Streeter,69,3,0.0435,0.1363,0.0588,-0.0024,0.0898,0.0,0.0,0.0,38.6
Matt Warman,474,29,0.0612,0.2334,0.1795,-0.0022,0.0258,0.0,0.0,0.0,90.1
Greg Smith,628,22,0.035,0.1521,0.4091,-0.0016,0.0116,0.0,0.0393,-0.0393,48.2
Edward Argar,1046,14,0.0134,0.1207,0.3333,-0.0008,0.0147,0.0,0.0656,-0.0656,28.5
Oliver Dowden,962,16,0.0166,0.2252,0.1613,0.0002,0.0005,0.0,0.0,0.0,88.5
Iain Stewart,285,12,0.0421,0.1079,0.1667,0.001,0.0234,0.0,0.0,0.0,21.4
George Eustice,1043,47,0.0451,0.1103,0.3103,-0.0033,0.1389,0.0,0.0,0.0,23.0
Sarah Dines,208,12,0.0577,0.1967,0.1176,-0.001,0.0012,0.0,0.0,0.0,70.1
David Morris,165,7,0.0424,0.1974,-0.1429,0.0003,0.001,0.0,0.0,0.0,71.8
Matthew Hancock,3257,67,0.0206,0.0852,0.25,-0.0019,0.0643,0.0424,0.0,0.0424,10.4
Simon Clarke,617,29,0.047,0.2135,0.4545,0.0077,0.2174,0.5059,0.0,0.5059,82.5
Johnny Mercer,586,8,0.0137,0.1967,0.125,0.002,0.0635,0.0,0.0,0.0,70.4
John Glen,963,12,0.0125,0.1268,0.2121,0.0005,0.0128,0.0,0.0,0.0,33.7
Robert Courts,626,20,0.0319,0.117,0.1875,0.0012,0.0262,0.0,0.0,0.0,27.1
Bill Wiggin,207,13,0.0628,0.2537,0.4,0.0054,0.212,0.0,0.0,0.0,95.3
Alok Sharma,952,11,0.0116,0.1016,-0.0968,-0.0009,0.0189,0.0,0.0,0.0,18.6
Andrew Bridgen,465,22,0.0473,0.173,0.3846,0.0034,0.0663,0.1927,0.0,0.1927,57.8
Simon Hart,354,14,0.0395,0.057,0.0909,0.0034,0.1875,0.0,0.0,0.0,3.6
Christopher Pincher,466,11,0.0236,0.1762,0.3714,-0.0042,0.0123,0.0,0.1065,-0.1065,59.7
Pauline Latham,322,20,0.0621,0.0818,0.0588,0.0012,0.0204,0.0287,0.0,0.0287,9.0
Caroline Johnson,593,29,0.0489,0.1938,0.2195,0.0034,0.096,0.0,0.0,0.0,68.5
Steve Baker,906,50,0.0552,0.1585,0.2,-0.0011,0.0118,0.1438,0.0,0.1438,51.8
Paul Beresford,111,9,0.0811,0.1201,0.4615,0.0013,0.0195,0.0,0.0,0.0,27.9
Tobias Ellwood,950,39,0.0411,0.0838,0.2,0.0019,0.0534,0.1684,0.0,0.1684,9.6
James Gray,220,9,0.0409,0.1247,-0.04,0.0047,0.2469,0.0,0.0,0.0,32.1
Mark Menzies,214,4,0.0187,0.086,0.0,-0.0003,0.0077,0.0,0.0,0.0,11.0
Douglas Ross,484,29,0.0599,0.1626,0.1304,-0.0032,0.0596,0.0,0.0121,-0.0121,52.9
Robin Millar,185,14,0.0757,0.1865,0.3077,0.0085,0.2398,0.2033,0.021,0.1823,64.4
Stephen Metcalfe,305,16,0.0525,0.1982,0.36,-0.0007,0.0042,0.0,0.0,0.0,73.2
Karen Bradley,878,40,0.0456,0.1385,0.125,0.002,0.0384,0.0,0.0,0.0,40.3
Andrew Rosindell,328,19,0.0579,0.1338,0.1111,0.0035,0.1865,0.1829,0.0,0.1829,36.7
Helen Whately,862,21,0.0244,0.1694,0.2821,-0.0014,0.0441,0.0,0.0,0.0,56.2
Sally-Ann Hart,215,17,0.0791,0.242,0.3043,-0.0077,0.0934,0.0,0.1516,-0.1516,92.6
John Stevenson,126,27,0.2143,0.0672,0.7333,0.0026,0.0468,0.0,0.0,0.0,4.7
Owen Paterson,183,24,0.1311,0.101,0.5789,-0.0023,0.0128,0.014,0.0,0.014,18.1
Jo Gideon,155,11,0.071,0.2522,0.1333,0.0013,0.0019,0.0,0.0,0.0,94.8
Paul Bristow,210,11,0.0524,0.243,0.2571,0.0112,0.212,0.0,0.0,0.0,93.2
Eddie Hughes,399,9,0.0226,0.1243,0.0303,-0.0061,0.3086,0.0,0.2852,-0.2852,31.2
Conor Burns,277,14,0.0505,0.2118,0.3125,0.0004,0.0007,0.0,0.0,0.0,81.4
Lucy Frazer,970,21,0.0216,0.064,0.25,0.0004,0.0061,0.0,0.0,0.0,4.4
Jack Brereton,347,36,0.1037,0.2512,0.3023,0.0039,0.061,0.0,0.0,0.0,94.5
Luke Evans,845,16,0.0189,0.2395,0.1034,0.0076,0.2195,0.0,0.0,0.0,92.1
Justin Tomlinson,619,3,0.0048,0.1157,0.0833,-0.0011,0.0714,0.0,0.0,0.0,26.0
Rob Roberts,187,16,0.0856,0.1642,0.1613,0.0008,0.0027,0.1878,0.1524,0.0355,54.0
Gareth Bacon,204,16,0.0784,0.2313,0.3778,-0.0033,0.0346,0.0638,0.0,0.0638,89.3
Ruth Edwards,140,5,0.0357,0.1147,0.2308,-0.0057,0.1171,0.0,0.0,0.0,24.9
Chris Green,263,12,0.0456,0.2015,0.2,-0.002,0.044,0.0,0.0464,-0.0464,74.2
Rebecca Harris,24,1,0.0417,0.1385,0.2727,0.0099,0.1667,0.0,0.0,0.0,40.5
Kwasi Kwarteng,896,23,0.0257,0.1785,0.1875,-0.0016,0.0341,0.0,0.0,0.0,61.4
Graham Stuart,1131,15,0.0133,0.0736,0.2222,0.0009,0.0595,0.0,0.0,0.0,6.6
Jeremy Quin,748,8,0.0107,0.2344,0.2,0.0017,0.0516,0.0,0.0,0.0,91.0
Chloe Smith,672,20,0.0298,0.088,0.1429,-0.0013,0.0219,0.0,0.0,0.0,13.2
Miriam Cates,183,9,0.0492,0.2035,0.2889,0.0075,0.1551,0.166,0.0,0.166,76.2
George Freeman,303,9,0.0297,0.1304,0.037,0.0009,0.0086,0.0,0.0,0.0,35.1
Damien Moore,172,6,0.0349,0.2023,0.1579,-0.0013,0.0119,0.0,0.0,0.0,75.1
Sheryll Murray,310,22,0.071,0.1529,0.4286,-0.0,0.0,0.101,0.217,-0.116,48.5
Amanda Milling,316,14,0.0443,0.105,-0.0714,0.0049,0.1416,0.3408,0.0,0.3408,20.8
Andrew Griffith,745,22,0.0295,0.1365,0.2778,-0.0014,0.009,0.0,0.0742,-0.0742,38.9
Will Quince,706,12,0.017,0.1354,0.0857,-0.0012,0.0768,0.0,0.0,0.0,38.1
Sajid Javid,2635,186,0.0706,0.2103,0.3333,-0.0027,0.065,0.0,0.0,0.0,80.3
Thérèse Coffey,1051,14,0.0133,0.1646,0.3333,-0.0001,0.0,0.0,0.2556,-0.2556,54.2
Mike Wood,470,14,0.0298,0.1407,0.1707,0.0002,0.0003,0.0,0.0,0.0,41.6
Philip Hollobone,916,59,0.0644,0.2023,0.4359,0.0042,0.1158,0.0,0.1107,-0.1107,74.8
Theresa Villiers,728,20,0.0275,0.118,0.1628,0.0032,0.1242,0.0819,0.0,0.0819,27.4
Nick Gibb,920,3,0.0033,0.2212,0.1724,-0.0006,0.0084,0.0,0.0,0.0,87.1
Richard Holden,750,28,0.0373,0.2247,0.2857,-0.0043,0.0713,0.0,0.0732,-0.0732,88.2
Mike Freer,246,10,0.0407,0.1293,0.2222,0.0111,0.4414,0.1588,0.0,0.1588,34.8
James Wild,344,4,0.0116,0.0254,0.4706,0.0005,0.0328,0.0,0.0199,-0.0199,1.4
Holly Mumby-Croft,157,1,0.0064,0.2511,0.5,0.0021,0.0268,0.0,0.0,0.0,94.2
Simon Baynes,215,23,0.107,0.098,0.0714,0.004,0.1079,0.1113,0.0,0.1113,17.0
Katherine Fletcher,206,9,0.0437,0.2021,0.2903,-0.0058,0.0709,0.0,0.0,0.0,74.5
Jacqueline Doyle-Price,465,15,0.0323,0.1998,0.125,0.0071,0.2789,0.0,0.0,0.0,73.7
James Duddridge,484,34,0.0702,0.079,0.0667,-0.0034,0.2242,0.0,0.1464,-0.1464,8.5
Andrew Mitchell,1544,100,0.0648,0.1282,0.1667,0.0,0.0,0.0,0.0,0.0,34.2
Peter Bottomley,473,14,0.0296,0.2484,0.2258,0.0036,0.1104,0.0899,0.0,0.0899,94.0
Andrea Jenkyns,132,7,0.053,0.2179,0.3684,0.0047,0.0957,0.0,0.0,0.0,84.7
Jo Churchill,484,12,0.0248,0.0884,0.1429,-0.0024,0.0493,0.0,0.2308,-0.2308,13.4
Ben Wallace,1496,117,0.0782,0.1436,0.3043,0.0005,0.0023,0.0,0.1465,-0.1465,43.0
James Heappey,808,49,0.0606,0.1745,0.1739,0.0028,0.0669,0.0,0.0,0.0,58.4
Mark Francois,581,20,0.0344,0.1758,0.3143,0.0029,0.1212,0.0,0.0,0.0,59.5
Mark Jenkinson,114,3,0.0263,0.0969,0.3846,0.0049,0.1687,0.0,0.0,0.0,16.7
Andrew Murrison,1153,52,0.0451,0.0877,0.2683,0.0018,0.08,0.0,0.0,0.0,12.6
Dehenna Davison,259,16,0.0618,0.1764,0.2308,-0.0126,0.4933,0.0,0.1626,-0.1626,60.0
Julie Marson,110,6,0.0545,0.1206,0.0,-0.0086,0.2588,0.0,0.0,0.0,28.2
