name,member_id,total_years_no_double_count,government_positions,final_post_end_date
Jeremy Wright,1560,9.2,"Secretary of State for Digital, Culture, Media and Sport; Attorney General; Parliamentary Under-Secretary (Ministry of Justice); Lord Commissioner (HM Treasury) (Whip)",2019-07-24
Mike Wood,401,0.0,,
Shivani Raja,5068,0.0,,
Victoria Atkins,4399,6.34,Secretary of State for Health and Social Care; Financial Secretary (HM Treasury); Minister for Afghan resettlement; Minister of State (Ministry of Justice); Minister for Women; Parliamentary Under-Secretary (Home Office),2024-07-05
Helen Grant,4018,2.56,"Parliamentary Under-Secretary (Department for Culture, Media and Sport); Parliamentary Under-Secretary (Ministry of Justice) (Jointly with the Department for Culture, Media and Sport)",2015-03-30
John Whittingdale,39,3.39,"Minister of State (Department for Science, Innovation and Technology); Minister of State (Department for Culture, Media and Sport); Minister of State (Department for Digital, Culture, Media and Sport); Secretary of State for Culture, Media and Sport",2023-12-20
Edward Argar,4362,5.89,Minister of State (Ministry of Justice); Chief Secretary to the Treasury; Paymaster General; Minister of State (Cabinet Office) (Attends Cabinet); Minister of State (Department of Health and Social Care); Parliamentary Under-Secretary (Ministry of Justice),2024-07-05
Saqib Bhatti,4818,0.64,"Parliamentary Under Secretary of State (Department for Science, Innovation and Technology)",2024-07-05
Blake Stephenson,5100,0.0,,
Greg Smith,4778,0.0,,
Peter Bedford,5330,0.0,,
George Freeman,4020,4.41,"Minister of State (Department for Science, Innovation and Technology); Minister of State (Department for Business, Energy and Industrial Strategy); Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy); Minister of State (Department for Transport); Parliamentary Under-Secretary (Department for Business, Innovation and Skills); Parliamentary Under-Secretary (Department of Health)",2023-11-13
Julian Lewis,54,0.0,,
Desmond Swayne,55,3.86,"Minister of State (Department for International Development); Vice Chamberlain (HM Household) (Whip, House of Commons); Lord Commissioner (HM Treasury) (Whip)",2016-07-17
Robert Jenrick,4320,4.93,"Minister of State (Home Office) (Immigration); Minister of State (Department of Health and Social Care); Secretary of State for Housing, Communities and Local Government; Exchequer Secretary (HM Treasury)",2023-12-06
Richard Fuller,3912,0.3,Economic Secretary (HM Treasury),2022-10-27
Geoffrey Clifton-Brown,249,0.0,,
Simon Hoare,4494,0.64,"Parliamentary Under Secretary of State (Department for Levelling Up, Housing and Communities)",2024-07-05
Steve Barclay,4095,8.98,"Secretary of State for Environment, Food and Rural Affairs; Secretary of State for Health and Social Care; Secretary of State for Health and Social Care; Chancellor of the Duchy of Lancaster; Minister for the Cabinet Office and Chancellor of the Duchy of Lancaster; Chief Secretary to the Treasury; Secretary of State for Exiting the European Union; Minister of State (Department of Health and Social Care); Economic Secretary (HM Treasury); Lord Commissioner (HM Treasury) (Whip); Assistant Whip (HM Treasury)",2024-07-05
Kemi Badenoch,4597,4.77,"Secretary of State for Business and Trade; President of the Board of Trade; Minister for Women and Equalities; Secretary of State for International Trade and President of the Board of Trade; Minister of State (Foreign, Commonwealth and Development Office) (jointly with Department for Levelling Up, Housing and Communities); Minister for Equalities; Exchequer Secretary (HM Treasury); Parliamentary Under-Secretary (Department for Education)",2024-07-05
Kit Malthouse,4495,4.79,"Secretary of State for Education; Chancellor of the Duchy of Lancaster; Minister of State (Ministry of Justice) (jointly with Home Office); Minister of State (Ministry of Justice) (jointly with Home Office); Minister of State (Home Office); Minister of State (Housing, Communities and Local Government); Parliamentary Under-Secretary (Department for Work and Pensions)",2022-10-25
James Wild,4787,0.0,,
Louie French,4932,0.0,,
Gareth Bacon,4798,0.64,Parliamentary Under-Secretary (Ministry of Justice),2024-07-05
Mark Francois,1444,6.18,"Minister of State (Communities and Local Government); Minister of State (Ministry of Defence); Vice Chamberlain (HM Household) (Whip, House of Commons)",2016-07-17
Rebecca Paul,5297,0.0,,
Rishi Sunak,4483,6.18,"Prime Minister, First Lord of the Treasury, Minister for the Civil Service, and Minister for the Union; Chancellor of the Exchequer; Chief Secretary to the Treasury; Parliamentary Under-Secretary (Housing, Communities and Local Government)",2024-07-05
Andrew Rosindell,1447,0.0,,
Caroline Nokes,4048,3.02,Minister of State (Home Office) (Immigration); Parliamentary Under-Secretary (Cabinet Office); Parliamentary Under-Secretary (Department for Work and Pensions),2019-07-24
David Simmonds,4872,0.0,,
Ben Spencer,4785,0.0,,
Alicia Kearns,4805,0.0,,
John Glen,4051,6.75,"Paymaster General and Minister for the Cabinet Office; Chief Secretary to the Treasury; Economic Secretary (HM Treasury); Minister of State (Treasury) (City); Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport) ; Parliamentary Under-Secretary (Department for Culture, Media and Sport)",2024-07-05
Laura Trott,4780,1.69,Chief Secretary to the Treasury; Parliamentary Under-Secretary (Department for Work and Pensions),2024-07-05
Julian Smith,4118,4.76,"Secretary of State for Northern Ireland; Parliamentary Secretary to the Treasury and Chief Whip; Treasurer of HM Household (Deputy Chief Whip, House of Commons); Vice Chamberlain (HM Household) (Whip, House of Commons); Assistant Whip (HM Treasury)",2020-02-13
Caroline Johnson,4592,0.13,Parliamentary Under-Secretary (Department of Health and Social Care),2022-10-27
Neil Shastri-Hurst,5197,0.0,,
John Hayes,350,7.66,"Minister of State (Department for Transport); Minister of State (Home Office) (Security); Minister of State (Department for Transport); Minister without Portfolio (Cabinet Office); Minister of State (Department of Energy and Climate Change); Minister of State (Department for Education) (Jointly with the Department for Business, Innovation and Skills); Minister of State (Department for Business, Innovation and Skills) (Further Education, Skills and Lifelong Learning) (also in the Department for Education)",2018-01-09
Alberto Costa,4439,0.0,,
Sarah Bool,5355,0.0,,
Stuart Anderson,4742,1.99,"Vice Chamberlain (HM Household) (Whip, House of Commons); Government Whip, Lord Commissioner of HM Treasury; Assistant Whip",2024-07-05
James Cartlidge,4519,2.48,Minister of State (Ministry of Defence); Exchequer Secretary (HM Treasury); Parliamentary Under Secretary of State (Ministry of Justice) (and Assistant Government Whip); Assistant Whip,2024-07-05
Rebecca Smith,5301,0.0,,
Gagan Mohindra,4804,0.8,Assistant Whip,2024-07-05
Andrew Murrison,1466,5.01,Parliamentary Under-Secretary (Ministry of Defence); Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development); Parliamentary Under-Secretary (Northern Ireland Office); Parliamentary Under-Secretary (Ministry of Defence),2024-07-05
Lincoln Jopp,5332,0.0,,
Karen Bradley,4110,6.88,"Secretary of State for Northern Ireland; Secretary of State for Digital, Culture, Media and Sport; Secretary of State for Culture, Media and Sport; Parliamentary Under-Secretary (Home Office); Lord Commissioner (HM Treasury) (Whip); Assistant Whip (HM Treasury)",2019-07-24
Matt Vickers,4844,0.0,,
Gavin Williamson,4108,4.98,Minister of State (Cabinet Office) (Minister without Portfolio); Secretary of State for Education; Secretary of State for Defence; Parliamentary Secretary to the Treasury and Chief Whip,2022-11-08
Andrew Mitchell,1211,9.44,"Minister of State (Foreign, Commonwealth and Development Office) (Minister for Development and Africa); Parliamentary Secretary to the Treasury and Chief Whip; Secretary of State for International Development; Parliamentary Under-Secretary (Department of Social Security); Lord Commissioner (HM Treasury) (Whip); Assistant Whip (HM Treasury)",2024-07-05
Esther McVey,4084,4.8,"Minister without Portfolio (Cabinet Office); Minister of State (Housing, Communities and Local Government); Secretary of State for Work and Pensions; Treasurer of HM Household (Deputy Chief Whip, House of Commons); Minister of State (Department for Work and Pensions) (Cabinet); Minister of State (Department for Work and Pensions); Parliamentary Under-Secretary (Department for Work and Pensions)",2024-07-05
Mark Pritchard,1576,0.0,,
Kevin Hollinrake,4474,1.69,"Minister of State (Department for Business and Trade); Parliamentary Under Secretary of State (Department for Business and Trade); Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy)",2024-07-05
Tom Tugendhat,4462,1.83,Minister of State (Home Office) (Security),2024-07-05
Geoffrey Cox,1508,1.6,Attorney General,2020-02-13
Katie Lam,5285,0.0,,
Andrew Bowie,4601,1.69,Parliamentary Under Secretary of State (Department for Energy Security and Net Zero); Parliamentary Under-Secretary (Department for International Trade),2024-07-05
Nick Timothy,5062,0.0,,
Harriett Baldwin,4107,5.46,Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development); Minister of State (Department for International Development) (Joint with the Foreign and Commonwealth Office); Parliamentary Under-Secretary (Ministry of Defence); Economic Secretary (HM Treasury); Lord Commissioner (HM Treasury) (Whip); Assistant Whip (HM Treasury),2019-07-25
Alec Shelbrooke,3997,0.13,Minister of State (Ministry of Defence),2022-10-26
Jack Rankin,5340,0.0,,
Priti Patel,4066,6.44,Home Secretary; Secretary of State for International Development; Minister of State (Department for Work and Pensions) (Cabinet); Exchequer Secretary (HM Treasury),2022-09-06
Mark Garnier,4074,1.48,Parliamentary Under-Secretary (Department for International Trade),2018-01-09
Greg Stafford,,0.0,,
Nus Ghani,,0.0,,
