name,date_of_birth,age
Holly Mumby-Croft,1983-01-01,43.2
Paul Howell,1960-01-10,66.1
Nigel Adams,1966-11-30,59.2
Laura Trott,1984-12-07,41.2
Mark Spencer,1970-01-20,56.1
Philip Davies,1972-01-05,54.1
Daniel Kawczynski,1972-01-24,54.1
Gordon Henderson,1948-01-27,78.1
Julian Smith,1971-08-30,54.5
Caroline Johnson,1977-12-31,48.2
Julian Knight,1972-01-05,54.1
David Warburton,1965-10-28,60.3
Stephen Metcalfe,1966-01-09,60.1
Anthony Browne,1967-06-11,58.7
Heather Wheeler,1959-05-14,66.8
Richard Drax,1958-01-29,68.1
Lucy Frazer,1972-05-17,53.8
Sheryll Murray,1956-02-04,70.1
John Hayes,1958-06-23,67.7
Alberto Costa,1971-11-13,54.3
Richard Bacon,1962-12-03,63.2
Andrea Leadsom,1963-05-13,62.8
Katherine Fletcher,1976-02-18,50.0
Gavin Williamson,1976-06-25,49.7
James Cartlidge,1974-04-30,51.8
Robert Buckland,1968-09-22,57.4
Craig Mackinlay,1966-10-07,59.4
Andrew Selous,1962-04-27,63.8
Gary Streeter,1955-10-02,70.4
Gagan Mohindra,1978-04-04,47.9
Elizabeth Truss,1975-07-26,50.6
Jeremy Hunt,1966-11-01,59.3
Andrew Murrison,1961-04-24,64.8
Royston Smith,1964-05-13,61.8
David Amess,1952-03-26,73.9
Damien Moore,1980-04-26,45.8
Kwasi Kwarteng,1975-05-26,50.8
Steve Double,1966-12-19,59.2
Derek Thomas,1972-07-20,53.6
Theo Clarke,1985-08-04,40.6
Karen Bradley,1970-03-12,56.0
Stephen McPartland,1976-08-09,49.6
Matt Vickers,1983-09-24,42.4
Jo Gideon,1952-11-07,73.3
Jonathan Gullis,1990-01-09,36.1
Jack Brereton,1991-05-13,34.8
William Cash,1940-05-10,85.8
Suzanne Webb,1966-02-04,60.1
Nadhim Zahawi,1967-06-02,58.7
Siobhan Baillie,1981-08-28,44.5
Thérèse Coffey,1971-11-18,54.3
Michael Gove,1967-08-26,58.5
Andrew Mitchell,1956-03-23,69.9
Paul Scully,1968-04-29,57.8
Christopher Pincher,1969-09-24,56.4
Esther McVey,1967-10-24,58.3
Rebecca Pow,1960-10-10,65.4
Lucy Allan,1964-10-02,61.4
Laurence Robertson,1958-03-29,67.9
Geoffrey Clifton-Brown,1953-03-23,72.9
Mark Pritchard,1966-11-22,59.3
Kevin Hollinrake,1963-09-28,62.4
Luke Hall,1986-07-08,39.6
Jacqueline Doyle-Price,1969-08-05,56.6
Neil Parish,1956-05-26,69.8
Thomas Tugendhat,1973-06-27,52.7
Kevin Foster,1978-12-31,47.2
Geoffrey Cox,1960-04-30,65.8
Anthony Mangnall,1989-08-12,36.5
Cherilyn Mackrory,1976-06-05,49.7
Gregory Clark,1967-08-28,58.5
Boris Johnson,1964-06-19,61.7
James Davies,1980-02-27,46.0
Alun Cairns,1970-07-30,55.6
Imran Ahmad Khan,1973-09-06,52.5
Eddie Hughes,1968-10-03,57.4
David Johnston,1981-11-27,44.3
Andy Carter,1974-01-01,52.2
Dean Russell,1976-05-08,49.8
Peter Aldous,1961-08-26,64.5
Nusrat Ghani,1972-09-01,53.5
Peter Bone,1952-10-19,73.4
James Heappey,1981-01-30,45.1
Grant Shapps,1968-09-14,57.5
Andrew Bowie,1987-05-28,38.8
Nicola Richards,1994-12-19,31.2
Shaun Bailey,1992-07-22,33.6
Chris Loder,1981-09-05,44.5
Matthew Hancock,1978-10-02,47.4
Harriett Baldwin,1960-05-02,65.8
John Penrose,1964-06-22,61.7
Stephen Hammond,1962-02-04,64.1
Stephen Brine,1974-01-28,52.1
Adam Afriyie,1965-08-04,60.6
Priti Patel,1972-03-29,53.9
Robert Courts,1978-10-21,47.4
Jonathan Lord,1962-09-17,63.4
John Redwood,1951-06-15,74.7
Jane Stevenson,1971-02-18,55.0
Stuart Anderson,1976-07-17,49.6
Robin Walker,1978-04-12,47.9
Mark Jenkinson,1982-01-28,44.1
Peter Bottomley,1944-07-30,81.6
Sarah Atherton,1967-11-15,58.3
Steve Baker,1971-06-06,54.7
Mark Garnier,1963-02-26,63.0
Ben Wallace,1970-05-15,55.8
Marcus Fysh,1970-11-08,55.3
Virginia Crosbie,1966-12-08,59.2
Julian Sturdy,1971-06-03,54.7
