ward_code,dLab,dGrn,dRef,lab_base,lab_2026,grn_base,grn_2026,ref_base,ref_2026
E05013763,-8.09,5.35,26.2,13.44,5.36,2.18,7.53,0.0,26.2
E05013790,-8.08,15.5,12.77,12.06,3.98,0.0,15.5,0.0,12.77
E05013573,-8.05,-6.32,16.32,21.57,13.52,22.12,15.8,0.0,16.32
E05014020,-8.02,10.84,4.55,48.67,40.65,6.52,17.35,0.0,4.55
E05013628,-8.0,8.02,15.35,41.26,33.25,4.97,12.99,0.0,15.35
E05014134,-7.95,0.0,51.59,51.87,43.92,0.0,0.0,0.0,51.59
E05013932,-7.87,9.14,8.53,11.46,3.59,0.0,9.14,0.0,8.53
E05011468,-7.73,6.91,10.03,36.08,28.35,36.99,43.9,0.0,10.03
E05009403,-7.69,3.08,13.59,15.19,7.5,0.0,3.08,0.0,13.59
E05011462,-7.63,9.21,10.23,36.48,28.85,10.44,19.65,0.0,10.23
E05013991,-7.61,6.08,14.36,16.81,9.2,4.09,10.17,0.0,14.36
E05013779,-7.53,0.43,16.5,11.46,3.93,11.26,11.69,0.0,16.5
E05013743,-7.47,6.04,14.01,31.88,24.41,0.0,6.04,0.0,14.01
E05010999,-7.43,0.0,16.1,9.2,1.77,0.0,0.0,0.0,16.1
E05014025,-7.4,9.57,4.52,46.35,38.96,4.84,14.41,0.0,4.52
E05013820,-7.37,4.14,6.09,17.97,10.6,2.9,7.04,0.0,6.09
E05011100,-7.31,7.1,1.73,44.19,36.88,8.29,15.39,0.55,2.27
E05013881,-7.26,11.43,22.97,10.31,3.05,0.0,11.43,0.0,22.97
E05013577,-7.25,-5.49,19.41,19.05,11.8,10.0,4.51,0.0,19.41
E05011483,-7.21,4.06,21.32,25.44,18.23,15.81,19.88,0.0,21.32
E05013939,-7.17,2.58,16.61,12.99,5.82,4.72,7.3,0.0,16.61
E05013652,-7.16,14.06,7.57,21.53,14.37,0.0,14.06,0.0,7.57
E05013756,-7.12,1.03,17.0,10.96,3.83,11.12,12.15,0.0,17.0
