ons,year,disc_pct
E06000040,2025-26,11.620190264474157
E06000040,2026-27,10.731584527723324
E06000041,2022-23,24.891335131075074
E06000041,2023-24,20.36824194893291
E06000041,2024-25,18.014058846017406
E06000041,2025-26,16.008837720943024
E06000041,2026-27,17.57569264123831
E06000042,2022-23,12.888166574832804
E06000042,2023-24,13.898937897129075
E06000042,2024-25,13.619126698110785
E06000042,2025-26,11.919773548513357
E06000042,2026-27,12.890351134132445
E06000043,2022-23,11.461037835510314
E06000043,2023-24,11.625781522141182
E06000043,2024-25,11.100532671310468
E06000043,2025-26,11.694320911280217
E06000043,2026-27,11.322458680556583
E06000044,2022-23,17.46797509326311
E06000044,2023-24,18.777197961487992
E06000044,2024-25,18.266739100909955
E06000044,2025-26,16.5004021736998
E06000044,2026-27,15.752355254206018
E06000045,2022-23,13.060725771137719
E06000045,2023-24,13.731507128007443
E06000045,2024-25,12.86233897642473
E06000045,2025-26,12.716803255699698
E06000045,2026-27,13.586958496049405
E06000046,2022-23,13.68621840724845
E06000046,2023-24,13.577627701011536
E06000046,2024-25,13.338948951248547
E06000046,2025-26,13.370399960868076
E06000046,2026-27,15.145282264416144
E06000047,2022-23,18.047219563010458
E06000047,2023-24,16.97366221786215
E06000047,2024-25,16.80048439473753
E06000047,2025-26,16.275002452007115
E06000047,2026-27,14.89198096251208
E06000049,2022-23,18.221218850132843
E06000049,2023-24,17.266743304806916
E06000049,2024-25,17.374110085988033
E06000049,2025-26,16.128783836561364
E06000049,2026-27,16.303585623161556
E06000050,2022-23,17.413966924998732
E06000050,2023-24,14.187413194837157
E06000050,2024-25,12.096163617702281
E06000050,2025-26,10.92088112351011
E06000050,2026-27,10.999183582347207
E06000051,2022-23,20.746779533676943
E06000051,2023-24,20.02304442452951
E06000051,2024-25,16.867631582311112
E06000051,2025-26,16.216607090856854
E06000051,2026-27,15.667193363933965
E06000052,2022-23,20.671035753091022
E06000052,2023-24,18.433788770540183
E06000052,2024-25,19.286871961102108
E06000052,2025-26,18.04606668311086
E06000052,2026-27,16.431368946145234
E06000053,2022-23,67.04304869442484
E06000053,2023-24,67.58104738154613
E06000053,2024-25,68.30115293790804
E06000053,2025-26,62.268928842745
E06000053,2026-27,55.66651184393869
E06000054,2022-23,18.591890694105693
E06000054,2023-24,16.800946610462724
E06000054,2024-25,17.176269841565958
E06000054,2025-26,16.043293397136228
E06000054,2026-27,16.219478495396213
E06000055,2022-23,15.096023390964296
E06000055,2023-24,14.975399952283
E06000055,2024-25,15.025970451657482
E06000055,2025-26,14.639380897675508
E06000055,2026-27,14.76140803627418
E06000056,2022-23,21.044214562024564
E06000056,2023-24,18.250119659441975
E06000056,2024-25,13.262259112921026
E06000056,2025-26,12.58263254935468
E06000056,2026-27,12.823300912629076
E06000057,2022-23,17.0044460993568
E06000057,2023-24,17.086266315812715
E06000057,2024-25,15.400390571877736
E06000057,2025-26,15.186549831256858
E06000057,2026-27,15.014159883348789
E06000058,2022-23,21.58736463801012
E06000058,2023-24,17.593529716240276
E06000058,2024-25,16.697549125147702
E06000058,2025-26,15.825305891725433
E06000058,2026-27,13.64526705279672
E06000059,2022-23,22.27253028213191
E06000059,2023-24,21.459056793995742
E06000059,2024-25,20.388147405975715
E06000059,2025-26,14.709819294387609
E06000059,2026-27,14.349000216724269
E06000060,2022-23,12.332147518870917
E06000060,2023-24,11.33350411415245
E06000060,2024-25,13.202097026984339
E06000060,2025-26,11.411003634101318
E06000060,2026-27,11.507331419112575
E06000061,2022-23,18.860648636432124
E06000061,2023-24,18.174142912764605
E06000061,2024-25,15.748152847294277
E06000061,2025-26,16.870132049581937
E06000061,2026-27,13.93001701179093
E06000062,2022-23,20.91298215815773
E06000062,2023-24,17.56291566093271
E06000062,2024-25,15.92429600645634
E06000062,2025-26,14.510767594989685
E06000062,2026-27,12.95479089859606
E06000063,2023-24,
E06000063,2024-25,18.47899152091837
E06000063,2025-26,
E06000063,2026-27,
E06000064,2023-24,
E06000064,2024-25,23.223066505485317
E06000064,2025-26,22.401113429600336
E06000064,2026-27,20.534744077851204
E06000065,2023-24,
E06000065,2024-25,22.056758330008588
E06000065,2025-26,20.210611827100106
E06000065,2026-27,19.026369103025345
E06000066,2023-24,19.57566546408205
E06000066,2024-25,14.665728552164968
E06000066,2025-26,16.26050851392649
E06000066,2026-27,14.782850315374143
E07,2024-25,82.74910439001907
E07,2025-26,81.97660158388328
E07,2026-27,81.01252958752707
E07000008,2022-23,83.29883952989874
E07000008,2023-24,84.26480929578408
E07000008,2024-25,85.88816542878644
E07000008,2025-26,79.36536012452243
E07000008,2026-27,75.80880605628543
E07000009,2022-23,82.79792746113989
E07000009,2023-24,81.03279490944689
E07000009,2024-25,79.92056250335462
E07000009,2025-26,62.742446487906655
E07000009,2026-27,76.82582802215025
E07000010,2022-23,85.81215910602634
E07000010,2023-24,88.33353286244463
E07000010,2024-25,88.6267902274642
E07000010,2025-26,91.8606332224953
E07000010,2026-27,93.13817881964896
E07000011,2022-23,86.58254760584211
E07000011,2023-24,86.64020605497615
E07000011,2024-25,88.26387113270263
E07000011,2025-26,87.08564789601714
