category,year,page_type,page_title,page_url,source_text,source_url,local_path,notes
national_general_elections,2019,results_analysis,General Election 2019: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-8749/,"Detailed results by constituency (csv) Detailed results by constituency (csv) (116 KB , )",https://researchbriefings.files.parliament.uk/documents/CBP-8749/HoC-GE2019-results-by-constituency.csv,national_general_elections/2019_results_analysis/HoC-GE2019-results-by-constituency.csv,
national_general_elections,2019,results_analysis,General Election 2019: full results and analysis,https://commonslibrary.parliament.uk/research-briefings/cbp-8749/,"Detailed results by constituency (xlsx) Detailed results by constituency (xlsx) (159 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-8749/HoC-GE2019-results-by-constituency.xlsx,national_general_elections/2019_results_analysis/HoC-GE2019-results-by-constituency.xlsx,
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"Download full report Download ‘General election 2024: results and analysis full briefing PDF’ report (11 MB , PDF)",https://researchbriefings.files.parliament.uk/documents/CBP-10009/CBP-10009.pdf,national_general_elections/2024_results_analysis/CBP-10009.pdf,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"Defeated MPs Defeated MPs (34 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-10009/Defeated-MPs.xlsx,national_general_elections/2024_results_analysis/Defeated-MPs.xlsx,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"Detailed results by candidate (csv) Detailed results by candidate (csv) (660 KB , )",https://researchbriefings.files.parliament.uk/documents/CBP-10009/HoC-GE2024-results-by-candidate.csv,national_general_elections/2024_results_analysis/HoC-GE2024-results-by-candidate.csv,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"Detailed results by candidate (xlsx) Detailed results by candidate (xlsx) (564 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-10009/HoC-GE2024-results-by-candidate.xlsx,national_general_elections/2024_results_analysis/HoC-GE2024-results-by-candidate.xlsx,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"Detailed results by constituency (csv) Detailed results by constituency (csv) (113 KB , )",https://researchbriefings.files.parliament.uk/documents/CBP-10009/HoC-GE2024-results-by-constituency.csv,national_general_elections/2024_results_analysis/HoC-GE2024-results-by-constituency.csv,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"Detailed results by constituency (xlsx) Detailed results by constituency (xlsx) (152 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-10009/HoC-GE2024-results-by-constituency.xlsx,national_general_elections/2024_results_analysis/HoC-GE2024-results-by-constituency.xlsx,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"MPs elected MPs elected (75 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-10009/MPs-elected.xlsx,national_general_elections/2024_results_analysis/MPs-elected.xlsx,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
national_general_elections,2024,results_analysis,General election 2024 results,https://commonslibrary.parliament.uk/research-briefings/cbp-10009/,"Record of dataset changes (updated 5 Jan 2026) Record of dataset changes (updated 5 Jan 2026) (14 KB , Excel Spreadsheet )",https://researchbriefings.files.parliament.uk/documents/CBP-10009/Record-of-changes.xlsx,national_general_elections/2024_results_analysis/Record-of-changes.xlsx,"Includes constituency, candidate, regional, MP and change-log files published on the Commons Library page."
