rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
139,Jo Platt,Labour and Co-operative,Leigh and Atherton,56,1,29,31,0.017857142857142856,-0.03333333333333333,53.3,Mixed / unclear
140,Stephen Gethins,Scottish National Party,Arbroath and Broughty Ferry,446,50,85,157,0.11210762331838565,-0.2975206611570248,53.3,Mixed / unclear
141,Jo Stevens,Labour,Cardiff East,171,8,55,74,0.04678362573099415,-0.14728682170542637,53.3,Mixed / unclear
142,Wera Hobhouse,Liberal Democrat,Bath,545,28,172,240,0.05137614678899083,-0.1650485436893204,53.2,Mixed / unclear
143,Chris Elmore,Labour,Bridgend,390,20,70,97,0.05128205128205128,-0.16167664670658682,53.2,Mixed / unclear
144,Jim McMahon,Labour and Co-operative,"Oldham West, Chadderton and Royton",272,6,87,98,0.022058823529411766,-0.05945945945945946,53.2,Mixed / unclear
145,Feryal Clark,Labour,Enfield North,49,3,19,29,0.061224489795918366,-0.20833333333333334,53.1,Mixed / unclear
146,Gareth Bacon,Conservative,Orpington,48,4,24,41,0.08333333333333333,-0.26153846153846155,53.1,Mixed / unclear
147,Jeff Smith,Labour,Manchester Withington,270,6,75,86,0.022222222222222223,-0.06832298136645963,52.9,Mixed / unclear
148,Tonia Antoniazzi,Labour,Gower,173,7,44,59,0.04046242774566474,-0.14563106796116504,52.8,Mixed / unclear
149,Desmond Swayne,Conservative,New Forest West,715,9,38,40,0.012587412587412588,-0.02564102564102564,52.7,Mixed / unclear
150,Carolyn Harris,Labour,Neath and Swansea East,184,9,91,130,0.04891304347826087,-0.17647058823529413,52.6,Mixed / unclear
151,Ian Lavery,Labour,Blyth and Ashington,60,1,10,11,0.016666666666666666,-0.047619047619047616,52.5,Mixed / unclear
152,Toby Perkins,Labour,Chesterfield,379,7,108,123,0.018469656992084433,-0.06493506493506493,52.3,Mixed / unclear
153,Stella Creasy,Labour and Co-operative,Walthamstow,362,44,151,305,0.12154696132596685,-0.33771929824561403,52.3,Mixed / unclear
154,Imran Hussain,Labour,Bradford East,145,8,92,143,0.05517241379310345,-0.2170212765957447,52.1,Mixed / unclear
