ward_code,ward_name,ward_name_welsh,council,area_sq_km,canvassing_events,events_per_sq_km,has_canvassing_event,rank_by_events_per_sq_km,rank_by_events
W05001290,Pontprennau and Old St Mellons,Pontprennau a Phentref Llaneirwg,Cardiff,8.642425776008606,10,1.1570825436256593,True,124,30
W05001473,Pembroke Dock: Bufferland,Doc Penfro: Bufferland,Pembrokeshire,0.8669905811080932,1,1.1534150679260073,True,125,289
W05001392,Llantwit Major,Llanilltud Fawr,Vale of Glamorgan,21.794444823394777,24,1.1011980435600597,True,126,1
W05001238,Coity Higher,Coety Uchaf,Bridgend,7.3951234793586735,8,1.0817939717071205,True,127,42
W05001647,Victoria,Victoria,Newport,0.9525551550750733,1,1.0498079766532653,True,128,289
W05001478,Pembroke: Monkton and St Mary South,Penfro: Cil-maen a De St Mary,Pembrokeshire,4.809540222976684,5,1.0396004125536635,True,129,70
W05001658,Gilfach,Gilfach,Caerphilly,1.0170973825454712,1,0.9831900240440282,True,130,289
W05001255,St Bride's Minor and Ynysawdre,Llansanffraid-ar-Ogwr ac Ynysawdre,Bridgend,12.253471866294861,12,0.9793142817757573,True,131,19
W05001254,Rest Bay,Rest Bay,Bridgend,2.0451797948532104,2,0.9779091329931444,True,132,192
W05001659,Hengoed,Hengoed,Caerphilly,2.0561121760673524,2,0.9727095745453558,True,133,192
W05001728,Erddig,Erddig,Wrexham,1.0575785644226074,1,0.9455562297123118,True,134,289
W05001527,Dewi,Dewi,Gwynedd,1.1003402445373536,1,0.9088098022084593,True,135,289
W05001355,Rhyl West,Gorllewin y Rhyl,Denbighshire,1.1126868800048828,1,0.8987254347742571,True,136,289
W05001622,Penydarren,Penydarren,Merthyr Tydfil,1.119110665988922,1,0.8935666778909056,True,137,289
W05001050,Landore,Glandŵr,Swansea,2.2431157001304625,2,0.89161695934083,True,138,192
W05001379,Baruc,Baruc,Vale of Glamorgan,3.3726715918388366,3,0.8895025555584409,True,139,126
W05001679,Aberavon,Aberafan,Neath Port Talbot,2.2523796331977843,2,0.887949780100137,True,140,192
W05001394,Plymouth,Plymouth,Vale of Glamorgan,3.3908493178520205,3,0.8847340942594261,True,141,126
W05001327,Teifi,Teifi,Ceredigion,6.798946988441467,6,0.8824895987864422,True,142,61
W05001590,Greenfield,Maes-glas,Flintshire,4.632918002243042,4,0.8633867463364098,True,143,98
W05001611,Saltney Ferry,Saltney Ferry,Flintshire,3.5831945034484862,3,0.837241739769578,True,144,126
W05001047,Gorseinon and Penyrheol,Gorseinon a Phenyrheol,Swansea,10.858201138942718,9,0.8288665760410058,True,145,33
W05001764,Caldicot Castle,Castell Cil-y-coed,Monmouthshire,1.21579084167099,1,0.8225098970359032,True,146,289
W05001608,Northop,Llaneurgain,Flintshire,14.906096861686706,12,0.8050397170599182,True,147,19
W05001757,Ruabon,Rhiwabon,Wrexham,8.880221329238891,7,0.7882686411150474,True,148,48
W05001624,Town,Y Dref,Merthyr Tydfil,7.646472637550354,6,0.7846755339887252,True,149,61
W05001742,Llay,Llai,Wrexham,9.08223375693512,7,0.7707355026680366,True,150,48
W05001489,Tenby: South,De Dinbych-y-pysgod,Pembrokeshire,3.9253629180145264,3,0.7642605442243845,True,151,126
W05001707,Port Talbot,Port Talbot,Neath Port Talbot,3.941940186141968,3,0.7610465553350119,True,152,126
W05001370,New Inn,New Inn,Torfaen,11.854062145133971,9,0.7592334079077231,True,153,33
W05001103,Taff's Well,Ffynnon Taf,Rhondda Cynon Taf,6.740505140384674,5,0.741784168376831,True,154,70
W05001579,Buckley: Pentrobin,Bwlce: Pentrobin,Flintshire,2.81496781918335,2,0.710487695941128,True,155,192
W05001517,Canol Bangor,Canol Bangor,Gwynedd,2.819702403022766,2,0.7092947106247695,True,156,192
W05001075,Beddau and Tyn-y-nant,Beddau a Thyn-y-nant,Rhondda Cynon Taf,4.343642203800202,3,0.6906646218179148,True,157,126
W05001681,Allt-wen,Allt-wen,Neath Port Talbot,4.378534053325653,3,0.6851608240254276,True,158,126
W05001044,Cwmbwrla,Cwmbwrla,Swansea,1.4854719531021119,1,0.673186725546517,True,159,289
W05001705,Neath South,De Castell-nedd,Neath Port Talbot,1.4946554196128845,1,0.6690505295588463,True,160,289
